Business_Name,Category,Location,Rating,Contact
Scott Inc,Grocery Store,Kondapur,4.0,001-897-044-5816
Kerr and Sons,Cafe,Jubilee Hills,3.8,214-275-7848x113
Powell-Wagner,Bakery,Madhapur,3.4,+1-389-345-9196x069
Johnson LLC,Restaurant,Madhapur,3.8,(336)741-4265x00943
Ferrell-Rhodes,Bakery,Hitech City,3.9,944.102.4566x64794
Flynn-Johnson,Grocery Store,Madhapur,3.6,485-802-3902
Garcia-Martinez,Bakery,Jubilee Hills,4.6,970-357-8029x9050
Larson-Jones,Cafe,Kondapur,4.7,001-031-908-4689
Ellis-Nguyen,Bakery,Madhapur,4.6,600.215.2078x078
Jones PLC,Grocery Store,Jubilee Hills,3.3,456.124.7922
